name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross revenue,company,runtime,release month,release day,release year,other,release month num,release date,release quarter,release day of week,FILM,title_urled,budget_scraped
"Farewell, My Queen",R,Drama,2012,"March 21, 2012 (France)",6.2,8200.0,Benoît Jacquot,Benoît Jacquot,Léa Seydoux,France,,6366835.0,GMT Productions,100.0,March,21,2012,(France),3,2012-03-21,1,Wednesday,"Farewell, My Queen (2012)",farewell_my_queen_2012,$9 million[1]
The Magic of Belle Isle,PG,Comedy,2012,"July 6, 2012 (United States)",7.0,18000.0,Rob Reiner,Guy Thomas,Morgan Freeman,United States,,123821.0,Magnolia Pictures,109.0,July,6,2012,(United States),7,2012-07-06,3,Friday,The Magic of Belle Isle (2012),the_magic_of_belle_isle_2012,$5 million[citation needed]
The Prey,R,Action,2011,"June 7, 2013 (United States)",6.7,5200.0,Eric Valette,Laurent Turner,Albert Dupontel,France,,3102666.0,Brio Films,105.0,June,7,2013,(United States),6,2013-06-07,2,Friday,The Prey (2013),the_prey_2013,
Byzantium,R,Drama,2012,"May 31, 2013 (United Kingdom)",6.5,42000.0,Neil Jordan,Moira Buffini,Saoirse Ronan,United Kingdom,,828284.0,Demarest Films,118.0,May,31,2013,(United Kingdom),5,2013-05-31,2,Friday,Byzantium (2013),byzantium_2013,€8 million[4]
Frances Ha,R,Comedy,2012,"August 23, 2013 (Brazil)",7.5,78000.0,Noah Baumbach,Noah Baumbach,Greta Gerwig,United States,,9058065.0,Pine District Pictures,86.0,August,23,2013,(Brazil),8,2013-08-23,3,Friday,Frances Ha (2013),frances_ha_2013,$3 million[3]
Stuck in Love.,R,Comedy,2012,"May 2, 2013 (Israel)",7.2,85000.0,Josh Boone,Josh Boone,Greg Kinnear,United States,,977671.0,Informant Media,97.0,May,2,2013,(Israel),5,2013-05-02,2,Thursday,Stuck in Love. (2013),stuck_in_love_2013,
Thanks for Sharing,R,Comedy,2012,"September 14, 2013 (Denmark)",6.4,27000.0,Stuart Blumberg,Stuart Blumberg,Mark Ruffalo,United States,,3499442.0,Class 5 Films,112.0,September,14,2013,(Denmark),9,2013-09-14,3,Saturday,Thanks for Sharing (2013),thanks_for_sharing_2013,
Starlet,Not Rated,Drama,2012,"May 9, 2013 (Germany)",6.9,7200.0,Sean Baker,Sean Baker,Dree Hemingway,United States,,146222.0,Maybach Film Productions,103.0,May,9,2013,(Germany),5,2013-05-09,2,Thursday,Starlet (2013),starlet_2013,
To the Wonder,R,Drama,2012,"February 22, 2013 (Ireland)",5.9,28000.0,Terrence Malick,Terrence Malick,Ben Affleck,United States,,2801166.0,Brothers K Productions,112.0,February,22,2013,(Ireland),2,2013-02-22,1,Friday,To the Wonder (2013),to_the_wonder_2013,
Great Expectations,PG-13,Drama,2012,"November 8, 2013 (United States)",6.4,13000.0,Mike Newell,David Nicholls,Toby Irvine,United Kingdom,,6202879.0,BBC Films,128.0,November,8,2013,(United States),11,2013-11-08,4,Friday,Great Expectations (2013),great_expectations_2013,
Sightseers,Not Rated,Adventure,2012,"May 10, 2013 (United States)",6.5,27000.0,Ben Wheatley,Alice Lowe,Alice Lowe,United Kingdom,,2122909.0,StudioCanal,88.0,May,10,2013,(United States),5,2013-05-10,2,Friday,Sightseers (2013),sightseers_2013,
The ABCs of Death,Not Rated,Comedy,2012,"April 26, 2013 (United Kingdom)",4.7,18000.0,Directors,Ant Timpson,Ingrid Bolsø Berdal,United States,,23589.0,Magnet Releasing,129.0,April,26,2013,(United Kingdom),4,2013-04-26,2,Friday,The ABCs of Death (2013),the_abcs_of_death_2013,
Into the White,R,Action,2012,"April 12, 2013 (United States)",7.2,20000.0,Petter Næss,Ole Meldgaard,Florian Lukas,Norway,,712216.0,Zentropa International Norway,104.0,April,12,2013,(United States),4,2013-04-12,2,Friday,Into the White (2013),into_the_white_2013,
The Sweeney,R,Action,2012,"March 1, 2013 (United States)",6.1,19000.0,Nick Love,Nick Love,Ray Winstone,United Kingdom,,7708312.0,Vertigo Films,112.0,March,1,2013,(United States),3,2013-03-01,1,Friday,The Sweeney (2013),the_sweeney_2013,£3 million
Unfinished Song,PG-13,Comedy,2012,"February 22, 2013 (United Kingdom)",7.0,7400.0,Paul Andrew Williams,Paul Andrew Williams,Terence Stamp,United Kingdom,,9166865.0,Steel Mill Pictures,90.0,February,22,2013,(United Kingdom),2,2013-02-22,1,Friday,Unfinished Song (2013),unfinished_song_2013,
The Reluctant Fundamentalist,R,Drama,2012,"May 17, 2013 (India)",6.9,14000.0,Mira Nair,Javed Akhtar,Riz Ahmed,United States,,2176576.0,Cine Mosaic,130.0,May,17,2013,(India),5,2013-05-17,2,Friday,The Reluctant Fundamentalist (2013),the_reluctant_fundamentalist_2013,$15 million[3][4]
Much Ado About Nothing,PG-13,Comedy,2012,"June 14, 2013 (United Kingdom)",7.1,16000.0,Joss Whedon,William Shakespeare,Alexis Denisof,United States,,5341221.0,Bellwether Pictures,109.0,June,14,2013,(United Kingdom),6,2013-06-14,2,Friday,Much Ado About Nothing (2013),much_ado_about_nothing_2013,
Blue Is the Warmest Colour,NC-17,Drama,2013,"October 9, 2013 (Belgium)",7.7,142000.0,Abdellatif Kechiche,Abdellatif Kechiche,Léa Seydoux,France,,19465835.0,Quat'sous Films,180.0,October,9,2013,(Belgium),10,2013-10-09,4,Wednesday,Blue Is the Warmest Colour (2013),blue_is_the_warmest_colour_2013,€4 million[4]
Big Bad Wolves,Not Rated,Drama,2013,"August 15, 2013 (Israel)",6.8,16000.0,Aharon Keshales,Aharon Keshales,Lior Ashkenazi,Israel,,291239.0,United Channel Movies,110.0,August,15,2013,(Israel),8,2013-08-15,3,Thursday,Big Bad Wolves (2013),big_bad_wolves_2013,
I Spit on Your Grave 2,R,Horror,2013,"September 5, 2013 (Ukraine)",5.7,28000.0,Steven R. Monroe,Neil Elman,Jemma Dallender,United States,,678604.0,Cinetel Films,106.0,September,5,2013,(Ukraine),9,2013-09-05,3,Thursday,I Spit on Your Grave 2 (2013),i_spit_on_your_grave_2_2013,$1.5 million[2]
Short Term 12,R,Drama,2013,"August 23, 2013 (United States)",8.0,84000.0,Destin Daniel Cretton,Destin Daniel Cretton,Brie Larson,United States,,1645164.0,Animal Kingdom,96.0,August,23,2013,(United States),8,2013-08-23,3,Friday,Short Term 12 (2013),short_term_12_2013,$1 million[citation needed]
Afternoon Delight,R,Comedy,2013,"September 15, 2013 (Canada)",5.7,10000.0,Joey Soloway,Joey Soloway,Kathryn Hahn,United States,,175755.0,Whitewater Films,98.0,September,15,2013,(Canada),9,2013-09-15,3,Sunday,Afternoon Delight (2013),afternoon_delight_2013,
The Kings of Summer,R,Adventure,2013,"August 23, 2013 (United Kingdom)",7.1,79000.0,Jordan Vogt-Roberts,Chris Galletta,Nick Robinson,United States,,1501595.0,Big Beach Films,95.0,August,23,2013,(United Kingdom),8,2013-08-23,3,Friday,The Kings of Summer (2013),the_kings_of_summer_2013,$1.5 million[1]
Bhaag Milkha Bhaag,Not Rated,Biography,2013,"July 12, 2013 (United States)",8.2,63000.0,Rakeysh Omprakash Mehra,Prasoon Joshi,Farhan Akhtar,India,,17551296.0,Rakeysh Omprakash Mehra Pictures,186.0,July,12,2013,(United States),7,2013-07-12,3,Friday,Bhaag Milkha Bhaag (2013),bhaag_milkha_bhaag_2013,₹410 million[2]
One Chance,PG-13,Biography,2013,"October 25, 2013 (United Kingdom)",6.8,12000.0,David Frankel,Justin Zackham,James Corden,United Kingdom,,10900434.0,Relevant Entertainment,103.0,October,25,2013,(United Kingdom),10,2013-10-25,4,Friday,One Chance (2013),one_chance_2013,$12 million[2]
Austenland,PG-13,Comedy,2013,"September 27, 2013 (United Kingdom)",6.3,20000.0,Jerusha Hess,Jerusha Hess,Keri Russell,United Kingdom,,2313509.0,Fickle Fish Films,97.0,September,27,2013,(United Kingdom),9,2013-09-27,3,Friday,Austenland (2013),austenland_2013,£4.9 million($7.6 million)
Kill Your Darlings,R,Biography,2013,"September 19, 2013 (Croatia)",6.5,36000.0,John Krokidas,Austin Bunn,Daniel Radcliffe,United States,,1877924.0,Killer Films,104.0,September,19,2013,(Croatia),9,2013-09-19,3,Thursday,Kill Your Darlings (2013),kill_your_darlings_2013,$5.6 million
Europa Report,PG-13,Action,2013,"June 27, 2013 (United States)",6.4,68000.0,Sebastián Cordero,Philip Gelatt,Sharlto Copley,United States,,125687.0,Wayfare Entertainment,90.0,June,27,2013,(United States),6,2013-06-27,2,Thursday,Europa Report (2013),europa_report_2013,Less than $10 million[1]
I Give It a Year,R,Comedy,2013,"February 8, 2013 (United Kingdom)",5.7,36000.0,Dan Mazer,Dan Mazer,Rose Byrne,United Kingdom,,29128433.0,StudioCanal,97.0,February,8,2013,(United Kingdom),2,2013-02-08,1,Friday,I Give It a Year (2013),i_give_it_a_year_2013,€12.7 million[2]
The Inevitable Defeat of Mister & Pete,R,Drama,2013,"January 25, 2013 (United States)",7.5,5300.0,George Tillman Jr.,Michael Starrbury,Skylan Brooks,United States,,506303.0,iDeal Partners Film Fund,108.0,January,25,2013,(United States),1,2013-01-25,1,Friday,The Inevitable Defeat of Mister & Pete (2013),the_inevitable_defeat_of_mister_pete_2013,"$300,000[2]"
The Tale of The Princess Kaguya,PG,Animation,2013,"November 23, 2013 (Japan)",8.0,41000.0,Isao Takahata,Isao Takahata,Chloë Grace Moretz,Japan,,24706166.0,Studio Ghibli,137.0,November,23,2013,(Japan),11,2013-11-23,4,Saturday,The Tale of The Princess Kaguya (2013),the_tale_of_the_princess_kaguya_2013,¥5 billion ($49 million)[3]
Yeh Jawaani Hai Deewani,Not Rated,Drama,2013,"May 31, 2013 (India)",7.2,40000.0,Ayan Mukherjee,Hussain Dalal,Ranbir Kapoor,India,,30991781.0,Dharma Productions,160.0,May,31,2013,(India),5,2013-05-31,2,Friday,Yeh Jawaani Hai Deewani (2013),yeh_jawaani_hai_deewani_2013,
A Field in England,Not Rated,Drama,2013,"July 5, 2013 (United Kingdom)",6.3,12000.0,Ben Wheatley,Amy Jump,Julian Barratt,United Kingdom,,97195.0,Film4,90.0,July,5,2013,(United Kingdom),7,2013-07-05,3,Friday,A Field in England (2013),a_field_in_england_2013,"£300,000"
Breathe In,R,Drama,2013,"July 19, 2013 (Ireland)",6.4,14000.0,Drake Doremus,Drake Doremus,Felicity Jones,United States,,500207.0,Indian Paintbrush,98.0,July,19,2013,(Ireland),7,2013-07-19,3,Friday,Breathe In (2013),breathe_in_2013,
V/H/S/2,R,Horror,2013,"June 6, 2013 (United States)",6.0,37000.0,Directors,Simon Barrett,Lawrence Michael Levine,United States,,805574.0,The Collective Studios,96.0,June,6,2013,(United States),6,2013-06-06,2,Thursday,V/H/S/2 (2013),v_h_s_2_2013,"$350,000"
Ida,PG-13,Drama,2013,"October 25, 2013 (Poland)",7.4,55000.0,Pawel Pawlikowski,Pawel Pawlikowski,Agata Kulesza,Poland,,11156836.0,Opus Film,82.0,October,25,2013,(Poland),10,2013-10-25,4,Friday,Ida (2013),ida_2013,$2.6 million[2]
In a World...,R,Comedy,2013,"September 13, 2013 (United Kingdom)",6.7,31000.0,Lake Bell,Lake Bell,Lake Bell,United States,,3114953.0,3311 Productions,93.0,September,13,2013,(United Kingdom),9,2013-09-13,3,Friday,In a World... (2013),in_a_world_2013,$150–170 million[2][3]
Ain't Them Bodies Saints,R,Crime,2013,"August 16, 2013 (United States)",6.4,21000.0,David Lowery,David Lowery,Rooney Mara,United States,,1031243.0,Sailor Bear,96.0,August,16,2013,(United States),8,2013-08-16,3,Friday,Ain't Them Bodies Saints (2013),ain_t_them_bodies_saints_2013,$4 million
New World,Not Rated,Action,2013,"February 21, 2013 (South Korea)",7.6,21000.0,Park Hoon-jung,Park Hoon-jung,Jung-jae Lee,South Korea,,31673928.0,Sanai Pictures,135.0,February,21,2013,(South Korea),2,2013-02-21,1,Thursday,New World (2013),new_world_2013,₩7.3 million
Charlie Countryman,R,Action,2013,"September 13, 2013 (Norway)",6.4,28000.0,Fredrik Bond,Matt Drake,Shia LaBeouf,United States,,443990.0,Media Pro Pictures,103.0,September,13,2013,(Norway),9,2013-09-13,3,Friday,Charlie Countryman (2013),charlie_countryman_2013,
A Summer's Tale,G,Comedy,1996,"June 20, 2014 (United States)",7.6,7000.0,Éric Rohmer,Éric Rohmer,Melvil Poupaud,France,,198126.0,Canal+,113.0,June,20,2014,(United States),6,2014-06-20,2,Friday,A Summer's Tale (2014),a_summer_s_tale_2014,
Paper Man,R,Comedy,2009,"May 1, 2014 (South Korea)",6.6,19000.0,Kieran Mulroney,Michele Mulroney,Jeff Daniels,United States,,13514.0,Artfire Films,110.0,May,1,2014,(South Korea),5,2014-05-01,2,Thursday,Paper Man (2014),paper_man_2014,
Nymphomaniac: Vol. I,Not Rated,Drama,2013,"March 6, 2014 (United States)",6.9,119000.0,Lars von Trier,Lars von Trier,Charlotte Gainsbourg,Denmark,,13551156.0,Zentropa Entertainments,117.0,March,6,2014,(United States),3,2014-03-06,1,Thursday,Nymphomaniac: Vol. I (2014),nymphomaniac_vol_i_2014,$4.7 million[5]
Enemy,R,Drama,2013,"February 6, 2014 (United States)",6.9,175000.0,Denis Villeneuve,José Saramago,Jake Gyllenhaal,Canada,,3468224.0,Pathé,91.0,February,6,2014,(United States),2,2014-02-06,1,Thursday,Enemy (2014),enemy_2014,
Nymphomaniac: Vol. II,Not Rated,Drama,2013,"March 20, 2014 (United States)",6.7,88000.0,Lars von Trier,Lars von Trier,Charlotte Gainsbourg,Denmark,,4934725.0,Zentropa Entertainments,124.0,March,20,2014,(United States),3,2014-03-20,1,Thursday,Nymphomaniac: Vol. II (2014),nymphomaniac_vol_ii_2014,$4.7 million[5]
Young & Beautiful,Not Rated,Drama,2013,"April 25, 2014 (United States)",6.7,33000.0,François Ozon,François Ozon,Marine Vacth,France,,9757417.0,Mandarin Films,95.0,April,25,2014,(United States),4,2014-04-25,2,Friday,Young & Beautiful (2014),young_beautiful_2014,
Horns,R,Comedy,2013,"October 3, 2014 (United States)",6.5,80000.0,Alexandre Aja,Keith Bunin,Daniel Radcliffe,United States,,3875442.0,Red Granite Pictures,120.0,October,3,2014,(United States),10,2014-10-03,4,Friday,Horns (2014),horns_2014,
The Great Beauty,Not Rated,Drama,2013,"March 14, 2014 (United States)",7.8,83000.0,Paolo Sorrentino,Paolo Sorrentino,Toni Servillo,Italy,,24665023.0,Indigo Film,141.0,March,14,2014,(United States),3,2014-03-14,1,Friday,The Great Beauty (2014),the_great_beauty_2014,"€9,200,000"
The Best Offer,R,Crime,2013,"January 1, 2014 (United States)",7.8,112000.0,Giuseppe Tornatore,Giuseppe Tornatore,Geoffrey Rush,Italy,,20919703.0,Paco Cinematografica,131.0,January,1,2014,(United States),1,2014-01-01,1,Wednesday,The Best Offer (2014),the_best_offer_2014,$18 million[1]
Palo Alto,R,Drama,2013,"May 9, 2014 (United States)",6.2,28000.0,Gia Coppola,Gia Coppola,Emma Roberts,United States,,919591.0,American Zoetrope,100.0,May,9,2014,(United States),5,2014-05-09,2,Friday,Palo Alto (2014),palo_alto_2014,$1 million
Starred Up,Not Rated,Crime,2013,"August 26, 2014 (United States)",7.4,44000.0,David Mackenzie,Jonathan Asser,Jack O'Connell,United Kingdom,,3025189.0,Film4,106.0,August,26,2014,(United States),8,2014-08-26,3,Tuesday,Starred Up (2014),starred_up_2014,
The Double,R,Comedy,2013,"April 4, 2014 (United Kingdom)",6.5,48000.0,Richard Ayoade,Fyodor Dostoevsky,Jesse Eisenberg,United Kingdom,,1662515.0,Alcove Entertainment,93.0,April,4,2014,(United Kingdom),4,2014-04-04,2,Friday,The Double (2014),the_double_2014,
In Secret,R,Crime,2013,"April 3, 2014 (Singapore)",6.1,8000.0,Charlie Stratton,Émile Zola,Elizabeth Olsen,Serbia,,652228.0,LD Entertainment,107.0,April,3,2014,(Singapore),4,2014-04-03,2,Thursday,In Secret (2014),in_secret_2014,$2 million[citation needed]
Knights of Badassdom,R,Action,2013,"April 11, 2014 (Australia)",5.6,20000.0,Joe Lynch,Kevin Dreyfuss,Ryan Kwanten,United States,,123854.0,Bayview Films,86.0,April,11,2014,(Australia),4,2014-04-11,2,Friday,Knights of Badassdom (2014),knights_of_badassdom_2014,
The Congress,Not Rated,Animation,2013,"July 24, 2014 (United States)",6.5,18000.0,Ari Folman,Stanislaw Lem,Robin Wright,Israel,,758754.0,Bridgit Folman Film Gang,122.0,July,24,2014,(United States),7,2014-07-24,3,Thursday,The Congress (2014),the_congress_2014,
The Love Punch,PG-13,Comedy,2013,"May 23, 2014 (United States)",5.8,14000.0,Joel Hopkins,Joel Hopkins,Pierce Brosnan,France,,8366493.0,Process Media,94.0,May,23,2014,(United States),5,2014-05-23,2,Friday,The Love Punch (2014),the_love_punch_2014,$25 million[1]
Tracks,PG-13,Adventure,2013,"March 6, 2014 (Australia)",7.2,29000.0,John Curran,Marion Nelson,Mia Wasikowska,Australia,,5853509.0,See-Saw Films,112.0,March,6,2014,(Australia),3,2014-03-06,1,Thursday,Tracks (2014),tracks_2014,
"Love, Rosie",R,Comedy,2014,"October 22, 2014 (United Kingdom)",7.2,127000.0,Christian Ditter,Juliette Towhidi,Lily Collins,Germany,,25574387.0,Canyon Creek Films,102.0,October,22,2014,(United Kingdom),10,2014-10-22,4,Wednesday,"Love, Rosie (2014)",love_rosie_2014,
Mommy,R,Drama,2014,"October 8, 2014 (Belgium)",8.1,53000.0,Xavier Dolan,Xavier Dolan,Anne Dorval,Canada,,13156856.0,Les Films Séville,139.0,October,8,2014,(Belgium),10,2014-10-08,4,Wednesday,Mommy (2014),mommy_2014,$4.9 million[2]
PK,Not Rated,Comedy,2014,"December 19, 2014 (India)",8.1,169000.0,Rajkumar Hirani,Rajkumar Hirani,Aamir Khan,India,,100370104.0,Rajkumar Hirani Films,153.0,December,19,2014,(India),12,2014-12-19,4,Friday,PK (2014),pk_2014,"₹85 crore
($13.9 million)"
'71,R,Action,2014,"October 10, 2014 (United Kingdom)",7.2,53000.0,Yann Demange,Gregory Burke,Jack O'Connell,United Kingdom,,3062178.0,Film 4,99.0,October,10,2014,(United Kingdom),10,2014-10-10,4,Friday,'71 (2014),71_2014,£8.1 million[2]
Walk of Shame,R,Comedy,2014,"May 1, 2014 (Israel)",6.0,52000.0,Steven Brill,Steven Brill,Elizabeth Banks,United States,,8122990.0,Focus World,95.0,May,1,2014,(Israel),5,2014-05-01,2,Thursday,Walk of Shame (2014),walk_of_shame_2014,$15 million[1]
Two Night Stand,R,Comedy,2014,"September 26, 2014 (United States)",6.4,67000.0,Max Nichols,Mark Hammer,Miles Teller,United States,,492332.0,Apartment Two,86.0,September,26,2014,(United States),9,2014-09-26,3,Friday,Two Night Stand (2014),two_night_stand_2014,$1.645 million[2]
Son of a Gun,R,Action,2014,"December 11, 2014 (United States)",6.4,27000.0,Julius Avery,Julius Avery,Ewan McGregor,Australia,,660241.0,Screen Australia,108.0,December,11,2014,(United States),12,2014-12-11,4,Thursday,Son of a Gun (2014),son_of_a_gun_2014,
Kill the Messenger,R,Biography,2014,"October 9, 2014 (Hungary)",6.9,45000.0,Michael Cuesta,Peter Landesman,Jeremy Renner,United States,,5218973.0,Sierra / Affinity,112.0,October,9,2014,(Hungary),10,2014-10-09,4,Thursday,Kill the Messenger (2014),kill_the_messenger_2014,$5 million[2]
Force Majeure,R,Comedy,2014,"December 30, 2014 (United States)",7.3,51000.0,Ruben Östlund,Ruben Östlund,Johannes Kuhnke,Sweden,,4094339.0,Plattform Produktion,120.0,December,30,2014,(United States),12,2014-12-30,4,Tuesday,Force Majeure (2014),force_majeure_2014,
"Two Days, One Night",PG-13,Drama,2014,"May 21, 2014 (Belgium)",7.3,46000.0,Jean-Pierre Dardenne,Jean-Pierre Dardenne,Marion Cotillard,Belgium,,9016922.0,Les Films du Fleuve,95.0,May,21,2014,(Belgium),5,2014-05-21,2,Wednesday,"Two Days, One Night (2014)",two_days_one_night_2014,€7 million
Hector and the Search for Happiness,R,Adventure,2014,"August 14, 2014 (Germany)",7.0,46000.0,Peter Chelsom,Maria von Heland,Simon Pegg,Germany,,6337728.0,Egoli Tossell Pictures,114.0,August,14,2014,(Germany),8,2014-08-14,3,Thursday,Hector and the Search for Happiness (2014),hector_and_the_search_for_happiness_2014,"
£9,142,341[2]
"
Effie Gray,PG-13,Biography,2014,"October 10, 2014 (United Kingdom)",6.0,4900.0,Richard Laxton,Emma Thompson,Dakota Fanning,United Kingdom,,721143.0,Sovereign Films (II),104.0,October,10,2014,(United Kingdom),10,2014-10-10,4,Friday,Effie Gray (2014),effie_gray_2014,$11 million[2]
Frank,R,Comedy,2014,"September 5, 2014 (United States)",7.0,76000.0,Lenny Abrahamson,Jon Ronson,Michael Fassbender,United Kingdom,,1897363.0,Element Pictures,95.0,September,5,2014,(United States),9,2014-09-05,3,Friday,Frank (2014),frank_2014,$1 million
Winter Sleep,Not Rated,Drama,2014,"June 12, 2014 (Turkey)",8.1,48000.0,Nuri Bilge Ceylan,Ebru Ceylan,Haluk Bilginer,Turkey,,4018705.0,NBC Film,196.0,June,12,2014,(Turkey),6,2014-06-12,2,Thursday,Winter Sleep (2014),winter_sleep_2014,
White Bird in a Blizzard,R,Drama,2014,"September 25, 2014 (United States)",6.4,27000.0,Gregg Araki,Gregg Araki,Shailene Woodley,France,,469701.0,Desperate Pictures,91.0,September,25,2014,(United States),9,2014-09-25,3,Thursday,White Bird in a Blizzard (2014),white_bird_in_a_blizzard_2014,
Dear White People,R,Comedy,2014,"December 4, 2014 (Brazil)",6.1,25000.0,Justin Simien,Justin Simien,Tyler James Williams,United States,,4633961.0,Code Red,108.0,December,4,2014,(Brazil),12,2014-12-04,4,Thursday,Dear White People (2014),dear_white_people_2014,$1.3 million[2][3]
Calvary,R,Drama,2014,"April 11, 2014 (United Kingdom)",7.4,57000.0,John Michael McDonagh,John Michael McDonagh,Brendan Gleeson,Ireland,,16887741.0,Fox Searchlight Pictures,102.0,April,11,2014,(United Kingdom),4,2014-04-11,2,Friday,Calvary (2014),calvary_2014,
Clouds of Sils Maria,R,Drama,2014,"August 20, 2014 (France)",6.7,28000.0,Olivier Assayas,Olivier Assayas,Juliette Binoche,France,,4728401.0,CG Cinéma,124.0,August,20,2014,(France),8,2014-08-20,3,Wednesday,Clouds of Sils Maria (2014),clouds_of_sils_maria_2014,€5.1 million[5]
Before We Go,PG-13,Comedy,2014,"July 21, 2015 (United States)",6.8,54000.0,Chris Evans,Ronald Bass,Chris Evans,United States,,462875.0,G4 Productions,95.0,July,21,2015,(United States),7,2015-07-21,3,Tuesday,Before We Go (2015),before_we_go_2015,$3 million[1]
Testament of Youth,PG-13,Biography,2014,"January 16, 2015 (United Kingdom)",7.3,27000.0,James Kent,Vera Brittain,Alicia Vikander,United Kingdom,,5874883.0,BBC Films,129.0,January,16,2015,(United Kingdom),1,2015-01-16,1,Friday,Testament of Youth (2015),testament_of_youth_2015,$10 million[2]
Cooties,R,Action,2014,"September 18, 2015 (United States)",5.7,24000.0,Jonathan Milott,Leigh Whannell,Elijah Wood,United States,,485544.0,SpectreVision,88.0,September,18,2015,(United States),9,2015-09-18,3,Friday,Cooties (2015),cooties_2015,
Goodnight Mommy,R,Horror,2014,"September 11, 2015 (United States)",6.7,47000.0,Severin Fiala,Veronika Franz,Lukas Schwarz,Austria,,2193474.0,Ulrich Seidl Film Produktion GmbH,99.0,September,11,2015,(United States),9,2015-09-11,3,Friday,Goodnight Mommy (2015),goodnight_mommy_2015,
Just Before I Go,R,Comedy,2014,"April 24, 2015 (United States)",6.4,18000.0,Courteney Cox,David Flebotte,Seann William Scott,United States,,10970.0,New Artists Alliance,95.0,April,24,2015,(United States),4,2015-04-24,2,Friday,Just Before I Go (2015),just_before_i_go_2015,
Kill Me Three Times,R,Action,2014,"April 10, 2015 (United States)",5.9,22000.0,Kriv Stenders,James McFarland,Simon Pegg,United States,,101807.0,Cargo Entertainment,90.0,April,10,2015,(United States),4,2015-04-10,2,Friday,Kill Me Three Times (2015),kill_me_three_times_2015,
Black Sea,R,Adventure,2014,"January 23, 2015 (United States)",6.4,36000.0,Kevin Macdonald,Dennis Kelly,Jude Law,United Kingdom,,4070789.0,Focus Features,114.0,January,23,2015,(United States),1,2015-01-23,1,Friday,Black Sea (2015),black_sea_2015,
A Little Chaos,R,Drama,2014,"June 26, 2015 (United States)",6.5,22000.0,Alan Rickman,Jeremy Brock,Kate Winslet,United Kingdom,,10084623.0,BBC Films,112.0,June,26,2015,(United States),6,2015-06-26,2,Friday,A Little Chaos (2015),a_little_chaos_2015,
She's Funny That Way,R,Comedy,2014,"August 21, 2015 (United States)",6.1,25000.0,Peter Bogdanovich,Louise Stratten,Imogen Poots,United States,,6034851.0,Lagniappe Films,93.0,August,21,2015,(United States),8,2015-08-21,3,Friday,She's Funny That Way (2015),she_s_funny_that_way_2015,$10 million[4]
Spring,Not Rated,Horror,2014,"March 20, 2015 (United States)",6.7,26000.0,Justin Benson,Justin Benson,Lou Taylor Pucci,United States,,49970.0,Rustic Films,109.0,March,20,2015,(United States),3,2015-03-20,1,Friday,Spring (2015),spring_2015,
The Salvation,R,Action,2014,"February 27, 2015 (United States)",6.7,37000.0,Kristian Levring,Anders Thomas Jensen,Mads Mikkelsen,Denmark,,1363964.0,Zentropa Entertainments,92.0,February,27,2015,(United States),2,2015-02-27,1,Friday,The Salvation (2015),the_salvation_2015,€10.5 million
When Marnie Was There,PG,Animation,2014,"August 7, 2015 (United States)",7.7,35000.0,James Simone,Joan G. Robinson,Sara Takatsuki,Japan,,34949567.0,Dentsu,103.0,August,7,2015,(United States),8,2015-08-07,3,Friday,When Marnie Was There (2015),when_marnie_was_there_2015,¥1.15 billion($10.5 million)
Big Game,PG-13,Action,2014,"June 26, 2015 (United States)",5.4,32000.0,Jalmari Helander,Jalmari Helander,Samuel L. Jackson,Finland,,7455398.0,Subzero Film Entertainment,110.0,June,26,2015,(United States),6,2015-06-26,2,Friday,Big Game (2015),big_game_2015,€8.5 million[4]($10 million)
Song of the Sea,PG,Animation,2014,"November 20, 2015 (United States)",8.1,54000.0,Tomm Moore,Will Collins,David Rawle,Ireland,,4190884.0,Backup Media,93.0,November,20,2015,(United States),11,2015-11-20,4,Friday,Song of the Sea (2015),song_of_the_sea_2015,US$7.5 million
Zombeavers,R,Action,2014,"March 20, 2015 (United States)",4.8,17000.0,Jordan Rubin,Al Kaplan,Rachel Melvin,United States,,54985.0,Armory Films,77.0,March,20,2015,(United States),3,2015-03-20,1,Friday,Zombeavers (2015),zombeavers_2015,
Leviathan,R,Crime,2014,"February 5, 2015 (Russia)",7.6,51000.0,Andrey Zvyagintsev,Oleg Negin,Aleksey Serebryakov,Russia,,4439481.0,Non-Stop Productions,140.0,February,5,2015,(Russia),2,2015-02-05,1,Thursday,Leviathan (2015),leviathan_2015,220 million RUB (US$7 million[4])
Heaven Knows What,R,Crime,2014,"May 29, 2015 (United States)",6.8,7100.0,Benny Safdie,Arielle Holmes,Arielle Holmes,France,,84417.0,Iconoclast,97.0,May,29,2015,(United States),5,2015-05-29,2,Friday,Heaven Knows What (2015),heaven_knows_what_2015,
The Keeping Room,R,Drama,2014,"September 25, 2015 (United States)",6.0,6500.0,Daniel Barber,Julia Hart,Brit Marling,United States,,73922.0,Gilbert Films,95.0,September,25,2015,(United States),9,2015-09-25,3,Friday,The Keeping Room (2015),the_keeping_room_2015,
The Lobster,R,Comedy,2015,"October 16, 2015 (United Kingdom)",7.2,230000.0,Yorgos Lanthimos,Yorgos Lanthimos,Colin Farrell,Ireland,,15509546.0,Film4,119.0,October,16,2015,(United Kingdom),10,2015-10-16,4,Friday,The Lobster (2015),the_lobster_2015,$4 million[4]
